o,x,x,x,o,o,o,x,x,tie
x,o,x,b,b,x,o,o,x,x
x,x,o,x,b,x,o,o,o,o
x,o,x,o,o,x,x,b,o,ongoing
o,x,o,o,x,x,x,o,x,tie
x,x,o,o,o,x,x,o,x,tie
x,o,x,b,o,b,b,o,x,o
x,x,o,o,o,x,x,x,o,tie
x,o,b,b,o,b,x,o,x,o
b,x,x,o,o,o,x,x,o,o
b,b,b,b,b,x,b,b,b,ongoing
b,b,b,b,b,b,b,x,b,ongoing
x,b,o,o,x,o,x,x,o,o
b,b,o,x,b,b,x,b,b,ongoing
o,b,b,x,x,x,o,x,o,x
b,x,b,x,o,o,b,b,x,ongoing
x,o,b,x,o,b,b,x,o,ongoing
o,b,b,x,x,o,x,b,b,ongoing
x,x,o,o,o,x,x,o,x,tie
o,b,x,b,b,b,o,x,b,ongoing
x,o,x,o,x,x,o,x,o,tie
b,o,x,x,o,b,b,x,o,ongoing
o,o,b,x,o,x,x,o,x,o
o,b,b,o,x,b,b,b,x,ongoing
b,x,o,b,b,b,b,b,b,ongoing
x,o,x,o,x,x,o,x,o,tie
x,o,x,b,x,x,o,o,o,o
o,b,b,x,o,x,b,x,o,o
x,x,o,o,o,x,x,x,o,tie
o,o,o,x,b,x,b,x,b,o
x,x,o,o,o,x,x,o,x,tie
x,o,o,x,o,o,x,x,x,x
o,o,x,x,x,x,o,x,o,x
b,b,b,o,b,b,b,x,b,ongoing
x,x,x,o,o,x,o,o,x,x
o,o,b,x,x,x,b,o,x,x
x,b,o,x,o,x,o,o,x,o
o,b,x,o,o,b,x,x,x,x
o,b,x,o,x,b,o,b,x,o
o,x,o,x,o,x,x,o,x,tie
o,x,x,x,o,x,b,o,o,o
o,b,b,x,o,b,x,x,o,o
b,x,o,x,o,x,o,o,x,o
x,o,o,o,x,x,x,x,o,tie
o,x,x,x,x,o,o,o,x,tie
b,o,o,x,x,x,b,o,x,x
b,x,o,x,b,o,b,x,o,o
x,o,o,o,o,x,x,x,x,x
x,o,x,o,x,o,x,b,b,x
o,x,x,x,o,o,o,x,x,tie
b,b,b,x,b,b,b,b,b,ongoing
x,b,b,x,b,o,b,b,b,ongoing
b,b,o,b,b,x,o,x,x,ongoing
b,x,o,x,o,x,b,b,o,ongoing
o,x,b,o,x,x,o,b,b,o
o,b,b,o,x,x,o,x,b,o
x,x,o,o,o,x,x,o,x,tie
o,x,x,b,o,x,b,b,o,o
x,o,o,o,x,x,x,x,o,tie
o,o,x,x,x,o,x,o,x,x
x,o,x,x,o,x,o,x,o,tie
x,x,b,x,o,o,o,x,b,ongoing
o,o,x,x,x,o,o,x,x,tie
b,o,x,x,o,o,x,o,x,o
x,o,o,o,x,x,x,x,o,tie
o,o,o,b,x,x,x,x,o,o
x,o,x,b,o,b,b,o,x,o
x,o,b,b,x,o,b,b,x,x
x,b,o,o,x,o,x,b,x,x
b,x,x,o,x,x,o,o,o,o
o,x,o,b,o,x,x,x,o,o
o,x,x,o,x,x,o,o,b,o
x,o,x,o,x,x,o,x,o,tie
o,o,x,x,o,x,o,x,x,x
x,o,b,o,o,x,x,o,x,o
x,b,o,b,x,o,b,b,x,x
o,o,x,x,x,o,o,x,x,tie
x,o,x,o,x,o,x,b,b,x
b,x,o,x,b,o,x,b,o,o
x,b,b,x,b,b,b,o,o,ongoing
b,x,b,o,o,o,x,b,x,o
o,x,o,o,x,x,x,o,x,tie
o,b,x,o,x,b,o,b,x,o
x,x,x,b,o,x,b,o,o,x
o,o,o,b,x,x,x,b,b,o
x,x,o,x,b,o,b,b,o,o
x,o,b,x,x,o,b,o,x,x
